Location,Type1988,CityName,DistToCityKM,TotPop1988,FromBirthPct1988,ArrivedPct1988,Woj.,GG,DistanceTreblinka,DistanceRailway
Rzewnie,w,Warsaw,70.06248764,3090,69.2,20.9,ostroleka,0,52.25742883,14.12889427
Somianka,w,Warsaw,41.64864727,5810,78.2,28.8,ostroleka,0,53.3216288,12.14500188
Stary Lubotyn,w,Bialystok,86.32865039,4346,79.1,31.3,ostroleka,0,33.53448505,10.13253031
Sypniewo,w,Warsaw,86.88867727,3971,71.2,45,ostroleka,0,63.25506745,10.14451099
Szelkow,w,Warsaw,66.81787065,4254,68.7,27.8,ostroleka,0,63.30777257,26.03836472
Tluszcz,w,Warsaw,37.58871221,10640,72.2,25.6,ostroleka,1,46.19010322,2.031056405
Tluszcz,m,Warsaw,36.65884324,6002,55,27,ostroleka,1,47.37392869,2.031056405
Troszyn,w,Bialystok,93.22762703,5326,73,52.5,ostroleka,0,49.26110195,1.652672234
Wasewo,w,Warsaw,84.40629196,5147,74.4,25.3,ostroleka,1,35.39526877,4.959555994
Wyszkow,w,Warsaw,50.1724101,9930,74.7,31,ostroleka,0,40.43634901,0.051928124
Wyszkow,m,Warsaw,50.48112882,22625,47.5,29.9,ostroleka,0,40.45315323,0.051928124
Zabrodzie,w,Warsaw,42.92527516,5736,70.1,24.1,ostroleka,0,43.19232629,0.362449604
Zatory,w,Warsaw,45.8399349,4935,69,28.3,ostroleka,0,57.98418483,17.359077
Bielany,w,Warsaw,85.09315267,4600,71.7,28.3,siedlce,1,35.81076352,0.451243403
Borowie,w,Warsaw,61.86387754,5167,74.8,25.2,siedlce,1,77.55706124,16.2660551
Ceglow,w,Warsaw,51.06803515,6769,59.9,40.1,siedlce,1,59.72095805,2.250324645
Ceranow,w,Bialystok,83.18591043,3130,78,22,siedlce,1,11.89958187,7.604588712
Debe Wielkie,w,Warsaw,31.52951849,7635,70.1,29.9,siedlce,1,61.45437447,1.939587604
Dobre,w,Warsaw,47.90356777,6335,73.2,26.8,siedlce,1,41.59767858,14.47705676
Grebkow,w,Warsaw,65.77622551,5212,75.5,24.5,siedlce,1,41.20896887,9.612832741
Jablonna Lacka,w,Bialystok,86.96824477,5640,71.9,28.1,siedlce,1,31.88666986,16.26590545
Jadow,w,Warsaw,49.71816086,8409,75.4,24.6,siedlce,1,34.09193607,1.728580017
Jakubow,w,Warsaw,46.91994716,5208,72.5,27.5,siedlce,1,50.24576759,9.797935798
Kaluszyn,w,Warsaw,56.53040689,3820,72,28,siedlce,1,48.09943221,6.13739097
Kaluszyn,m,Warsaw,54.70593892,2852,71.7,28.3,siedlce,1,49.79351284,6.13739097
Kolbiel,w,Warsaw,38.00229803,7939,70.5,29.5,siedlce,1,73.9417225,0.910353326
Korczew,w,Bialystok,93.94967802,3602,75.8,24.2,siedlce,1,50.06804199,12.12061202
Korytnica,w,Warsaw,59.35221281,7508,76.4,23.6,siedlce,1,28.22344554,15.10844254
Kosow Lacki,w,Warsaw,85.6512187,7580,75.6,24.4,siedlce,1,7.353769382,2.243077307
Kotun,w,Warsaw,70.61581342,8659,66.9,33.1,siedlce,1,50.93058933,0.256973925
Latowicz,w,Warsaw,57.78758904,6037,74.8,25.2,siedlce,1,69.80827242,13.83231605
Liw,w,Warsaw,70.7610747,8226,76.3,23.7,siedlce,1,27.28574213,14.35569428
Lochow,w,Warsaw,60.76128831,11641,70.6,29.4,siedlce,1,23.47946236,0.75361757
Lochow,m,Warsaw,56.62613823,5642,44.6,55.4,siedlce,1,27.48783204,0.75361757
Lukow,w,Warsaw,96.76093497,15044,77.1,22.9,siedlce,1,79.04748036,1.272394572
Miedzna,w,Warsaw,77.62040088,4862,79.7,20.3,siedlce,1,15.65159657,8.720659437
Minsk Mazowiecki,m,Warsaw,39.15664884,34065,50.6,49.4,siedlce,1,59.88139803,0.271272447
Minsk Mazowiecki,w,Warsaw,39.42703527,11957,62.3,37.7,siedlce,1,60.41526222,0.159583783
Mokobody,w,Warsaw,77.18203107,5453,77.1,22.9,siedlce,1,41.45867982,8.834743293
Mordy,m,Warsaw,103.0285613,1885,64.7,35.3,siedlce,1,56.49056457,0.357256184
