woj46,powiat46,name46,Areakm2,distRailway48,GG,Note,type46,ogolem,mezczyzni,Over59,shareMen,name49,powiat49,woj49,ID2,DistTreblinka
warszawskie,Warszawa,Wiazowna,117.1,6,1,,w,6802,3222,611,0.473684211,Wiazowna,Warszawski,Warszawskie,W301,66.73286887
lubelskie,Siedlce,Zbuczyn,81.1,6,1,,w,4718,2220,433,0.470538364,Zbuczyn,Siedlecki,Warszawskie,W251,66.74185719
bialostockie,Wysokie Mazowieckie,Kobylin,120.6,12,0,Piszczaty,w,5780,2746,577,0.475086505,Piszczaty,Wysokomazowiecki,Bialostockie,B157,67.00329967
lubelskie,Siedlce,Sarnaki,105.7,2,1,,w,6475,3011,644,0.465019305,Sarnaki,Siedlecki,Warszawskie,W237,67.17662806
warszawskie,Makow,Makow Mazowiecki,7.1,40,0,,m,2642,1225,212,0.463663891,Makow Mazowiecki m.,Makowski,Warszawskie,W111,67.20380282
lubelskie,Siedlce,Losice ,24.4,5,1,,m,2933,1342,217,0.457551995,Losice m.,Siedlecki,Warszawskie,W234,67.88331449
lubelskie,Siedlce,Swiniarow,80.4,5,1,,w,4061,1943,368,0.478453583,Swiniarow,Siedlecki,Warszawskie,W248,68.2459909
warszawskie,Ostroleka,Durlasy,160.6,6,0,,w,6188,2935,351,0.474305107,Durlasy,Ostrolecki,Warszawskie,W150,68.60228
warszawskie,Minsk,Wielgolas,72.5,21,1,,w,4679,2240,385,0.478734772,Wiegolas,Minski,Warszawskie,W120,68.64764998
bialostockie,Lomza,Nowogrod,20.4,14,0,,m,1125,517,101,0.459555556,Nowogrod m.,Lomzynski,Bialostockie,B94,68.95686599
lubelskie,Siedlce,Gorki,83.8,7,1,,w,4816,2312,448,0.480066445,Gorki,Siedlecki,Warszawskie,W253,69.18208741
warszawskie,Warszawa,Nieporet,101.6,1,1,,w,3872,1837,195,0.474431818,Nieporel,Warszawski,Warszawskie,W305,69.61889964
lubelskie,Siedlce,Olszanka,59.7,13,1,,w,3154,1517,322,0.480976538,Olszanka,Siedlecki,Warszawskie,W255,69.63840327
